métrica,categoría,definición,cálculo
Accesibilidad,Calidad,Evalúa si el dataset puede ser consultado sin restricciones,"Validación por reglas: acceso sin login, sin software propietario, con enlace funcional."
Actualidad,Calidad,Verifica vigencia del dato respecto a su actualización declarada,"IF (fecha_actual - fecha_actualización) > frecuencia_actualización THEN 0 ELSE 10."
Completitud,Calidad,Evalúa valores faltantes en columnas obligatorias,"% de celdas nulas por columna; penalización si columnas críticas están vacías."
Comprensibilidad,Calidad,Mide si el dataset puede ser interpretado fácilmente,"Validación de nombres de columnas, glosario, documentación del dataset."
Conformidad,Calidad,Mide valores que cumplen estándares o diccionarios formales,"conformidad = exp(-5 * (numValoresIncorrectos / totalValoresValidados))."
Confidencialidad,Calidad,Sensibilidad del dataset por columnas con datos personales,"IF numColConfidencial=0 THEN 10 ELSE 10 - ((riesgo_total / (numColConfidencial*3)) * (numColConfidencial/totalColumnas) * 10)."
Consistencia,Calidad,Verifica coherencia lógica en valores (fechas, estados, rangos),"Validación por reglas: fechas ordenadas, combinaciones válidas, dominios correctos."
Credibilidad,Calidad,Evalúa si la fuente es confiable y oficial,"Validación por reglas: responsable visible, institución válida, metadatos completos."
Disponibilidad,Interoperabilidad,Indicador de disponibilidad del dato en línea,"Validación de enlace 24/7, ausencia de errores HTTP, integridad del recurso."
Eficiencia,Interoperabilidad,Evalúa rendimiento del acceso/download,"Validación de tiempo de carga, errores en descarga, estabilidad del recurso."
Exactitud sintáctica,Calidad,Evalúa si los datos cumplen con formatos y tipos definidos,"Validación de tipos de datos, formatos, longitud, estructuras esperadas."
Exactitud semántica,Calidad,Evalúa correspondencia del dato con su significado real,"Validación contra catálogos, listas oficiales, códigos estándar."
Portabilidad,Interoperabilidad,Evalúa si los formatos permiten reutilización sin restricciones,"Validación del formato: CSV, JSON, XLSX sin macros; no PDF, no formatos propietarios."
Precisión,Calidad,Nivel adecuado de desagregación respecto a la fuente original,"Regla: el nivel de detalle debe corresponder al nivel capturado; castigo si hay agregaciones indebidas."
Recuperabilidad,Calidad,Capacidad de restaurar el dataset ante fallas,"Validación de backups, control de versiones, histórico de cargas."
Relevancia,Calidad,Evalúa utilidad y pertinencia del dataset para el usuario,"relevancia = (medidaCategoria + medidaFilas)/2; medidaCategoria usa NLP; medidaFilas exige >50 filas."
Trazabilidad,Interoperabilidad,Evalúa documentación del origen, actualizaciones y responsables,"trazabilidad = propMetadatos*0.75 + accesoAuditado*0.20 + tituloSinFecha*0.05."
Unicidad,Calidad,Evalúa duplicados e identificadores únicos,"unicidad = 1 - (#duplicados / total_registros)."
